"b102882186","917.4723 C463 M","Message[s] of the Hon. Alfred C. Chapin, mayor, December 10, 1888 [and] December 13, 1888.","871158183",,,
"b102886945","929 P91","The Pratt family :","907216320","04022951",,
"b102897190","252 C43 T","Thinking back :","906615678",,,
"b102900061","288 C487 U","Unitarianism in Brooklyn ;","906635466",,,
"b102925975","B SANGER C","Woman of valor :","921633005","92011496","0671600885 :",
"b102932700","320.973 C","The good fight.","730146063","72010680","0060107642",
"b102937163","917.471 C53 O","Old New York down town.","907167717","10028025",,
"b102941622","B CHISHOLM U","Unbought and unbossed.","710040750","79120834",,
"b102955542","974.702 C","Colonial New York. :","750284728","69015223",,
"b102969930","361 C56","Annual report of the Church Charity Foundation of Long Island.","907505183",,,
"b102988882","385.1 N56 CB","The Brooklyn Bridge problem and its solution ;","906631189",,,
"b102989266","917.471 N56 Ci","Historical guide to the city of New York /","906050062","09025287",,
"b102989904","388.4 N547 T","Traffic relief for Brooklyn ;","896868024",,,
"b102990359","352 B87 Ci","Report of the Civil Service Commission of the City of Brooklyn.","ocm22281360","sn 90034113",,
"b102992125","306.76092 C","Apples & oranges :","ocm40124896","98047997","0395827523 :",
"b103005250","285.8 C","Henry Ward Beecher :","780341093","78001721","0252006089 :",
"b103011407","627 C59","Memoranda relating to Pierhead and Bulkhead lines in Kings county, the borough of Brooklyn of the City of New York.","907538699",,,
"b103015735","352.57472 C61","A planning study for the area bounded by Vanderbilt Avenue, Dekalb Avenue, Sterling Place, and Bond Street in the Borough of Brooklyn, New York, New York :","896735453",,,
"b103029333","718 C62 G","Green-wood cemetery :","834188876",,,
"b103029345","718 S64 G","Green-wood illustrated /","886250097","11030521",,
"b103029370","917.472 C62 G","Green-wood :","871093957","11019264",,
"b103029588","718 C62","Hints concerning Green-wood :","ocm24035422","12009126",,
"b103029680","718 C62 H","A handbook for Greenwood /","896806454",,,
"b103054261","686 C66","Bookbinding, and the care of books ;","856097285","02003113",,
"b103068764","796.3576 C","Dodgers! :","906313060","89078177","0155970305 :",
"b103073504","B COHN M","A modern missionary to an ancient people.","ocm11034728",,,
"b103077844","364.3492 C","Tough Jews /","ocm37917295","97039282","0684831155 :",
"b103078241","J FIC C","Thank you, Jackie Robinson.","750174206","73017703","0688415806";"0688515800 (lib. bdg.)",
"b103099700","305.896074 C","The impact of migration on the African American :","ocm37612105",,,
"b103102838","970.1 C658 L","The Long Island Indian /","800192863","54028220",,
"b103107873","352.96 C","Neighborhood variation.","931279334",,,
"b103108038","305.26 C","Old and on their own /","ocm37553680","97036922","0393046060 :";"0393319121 (pbk.) :",
"b103111177","917.471 C719 P","A Puerto Rican in New York, and other sketches :","750093521","74014229","0405062184",
"b10312150x","305.868 C","The way it was, and other writings /","ocm27187338","92042443","1558850570 :",
"b103123970","284 B87","Brooklyn Protestantism, 1930-1945 :","906562447",,,
"b103124949","312.9 W44 C","Characteristics of the population by health areas, New York City, 1950 /","866091792","53036899",,
"b103129947","974.7 C73","Old roads from the heart of New York ;","902085073","15019989",,
"b103136514","725.13 C","Brooklyn's City Hall /","841101366","82019895","0890621403",
"b103136848","305.896 C","Blacks in Brooklyn from 1900 to 1960 /","ocm04101323",,,
"b103145904","974.723 C","A ghetto grows in Brooklyn.","780094668","77002471",,
"b103150663","B B414 CL","Letter-missive, statement, and documents. :","906898044",,,
"b103156380","312 C755 P","Population growth of New York City by districts, 1910-1948.","896839275",,,
"b103160486","B B414CS","Statement and documents.","906904950",,,
"b103174898","B MOODY C","A dangerous woman :","ocm33919407","95236689","0788403036 :",
"b10318319x","639.392 C","Movement and ecology of eastern box and painted turtles repatriated to human-created habitat /","ocm44113835",,,
"b103190776","917.471 C","Seeing New York :","ocm31865695","95002972","1566392888 (cloth : alk. paper)";"1566392896 (pbk.)",
"b103197473","388.44 C","The demise of the Fulton Ferry York Street Hudson Avenue elevated /","941112663",,,
"b103197825","388.44 C","The Franklin Avenue El/Incline.","906278571",,,
"b103201087","388.428 C","Silver connections /","841433307","84080638",,
"b103204295","917.4723 C821 B","The Brooklyn city register, or guide for 1848 :","871236420",,,
"b103212231","974.72 C79","The hill section of Brooklyn.","871279569",,,
"b10321530x","641.5 C","Lundy's :","ocm37806059","97035343","0060187417 :",
"b103217125","810.99747 C","New York literary lights /","ocm39012791","97080077","1555972721 :",
"b103218853","B BEECHER C","Personal recollections of Henry Ward Beecher :","ocm00848957","03028509",,
"b103224919","970.1 C833 W","Within two worlds /","907166486","55006838",,
"b103227301","625 C84","Giants under the earth ;","896069640","47024994",,
"b103229024","352 C84 O","Our firemen ;","710405134","08007291",,
"b103236387","378.73 C87 C8","A city college in action ;","770259349",,,
"b103252976","974.71 C","Hindsight and foresight :","ocm27910996",,,
"b103258577","025.2814 C","Documenting localities :","ocm35029647","96028802","0810830434 (alk. paper) :",
"b103266434","097 C88 B","Bookplates designed & cut on wood /","906999365",,,
"b103269344","271 C899","The Daughters of Dominic on Long Island ;","760299442","38014463",,
"b103272641","B PEDERSEN C","Hermann Pedersen :","ocm43333302",,,
"b103276944","362.732 C","An orphan has many parents /","ocm39217316","98021915","0881256501 :",
"b103290564","796.357 STENGEL C","Stengel, his life and times /","841029730","83017508","0671224891";"0440578299",
"b103302323","B CROCITTO C","A child's Christmas in Brooklyn /","ocm48497656",,"0967755824 :",
"b103312559","326 G","The Negro :","ocm31367009",,,
"b103324689","641.5 C","The young cook's guide :","906472977",,,
"b103327095","363.122 C","The Malbone Street wreck /","ocm41176669","99025764","0823219313 (hardcover)";"0823219321 (pbk.) :",
"b103327125","386.60973 C","Over and back :","906372735","89084357","0823212459",
"b103327307","388.428 C","Under the sidewalks of New York :","ocm32508207","95018861","0823216187 :",
"b103327319","388.42 C","Under the sidewalks of New York :","881469336","88001255","0828906858",
"b103330793","929.5097 C","Permanent New Yorkers :","872250419","87017663","0930031113 (alk. paper) :",
"b10333306x","289.92 C","A history of the Jehovah's Witnesses /","907779459",,,
"b10333385x","388.33 C","The parking problem in downtown Brooklyn ;","907594700",,,
"b103335481","025.84 C","Conservation of library materials ;","720258044","77163871","0810804271",
"b103336138","779.9 C","Facades /","ocm04066801","78323629","0140049487 :",
"b103336655","388.42 C","A history of the New York City subway system /","791061650","76361632",,
"b103337039","025.84 C","Library and archives conservation :","831366667","82010806","0810815877 (v. 1)";,
"b103338354","326.732 C","St. John's Home :","931209539",,,
"b103340518","025.21 C","Building library collections /","851312644","84023665","0810817764",
"b103343738","287 C97","History of the Wesley M. E. Church of Brooklyn, L.I. /","834263143","03015836",,
"b103344688","289.92 C","Jehovah's Witnesses :","ocm26012944","92020430","081530773X (alk. paper) :",
"b103345814","690.028 C","Moving historic buildings /","801194034","79014677",,
"b103349893","363.45 C","The war on drugs in Brooklyn, New York :","ocm37131743",,,
"b103353173","974.72 C98","A synoptical history of the towns of Kings county from 1525 to modern times :","871285310","16007120",,
"b103355637","252 C98","A quarter-century discourse, in three parts :","907585597",,,
"b103357154","269 C","Fresh wind, fresh fire :","ocm36074460","96050966","0310211883 :",
"b103366726","388 D13","Transit truths.","896984727",,,
"b103368838","B F199 D","Mollie Fancher, the Brooklyn enigma. :","834186733","14015340",,
"b103371540","647.95747 D","Brooklyn eats :","ocm37327586",,"1885492405",
"b103399975","B FISCHER","Bobby Fischer vs. the rest of the world.","750039248","73081322",,
"b103405525","727.70974 D","A new Brooklyn Museum :","881153781","87042679","0847808637",
"b103414307","305.8 D","No monopoly on suffering :","ocm36470256","97007987","0865435863 :",
"b103418763","364.1066 D","Brooklyn gang /","ocm42613735",,;"0944092519 (Limited ed.)",
"b103424003","283.747 D","Dominion in the sea :","791146422","76028103",,
"b10342572x","097 D24","English heraldic book-stamps :","906951149","09030493",,
"b103441219","907. D","Oral history :","780165239","77004403","0838902308 (pbk.) :",
"b103442121","823 D262 P","The post-captain ;","896468759",,,
"b103461486","974.721 D","Making a way to freedom :","ocm37705306","97040816","1557871493 :",
"b103461784","317.4723 D","North Crown Heights community district 8, Brooklyn /","941082050",,,
"b103472630","B MCLAUGHLIN D","Hugh McLaughlin, political leader of Brooklyn, 1870-1903 /","811523643",,,
"b103476635","917.471 D49","The market book ;","800063240","72121319","0678006857",
"b103477354","973.757 D","Monitor :","ocm36969686","97017500","0802713300 (hardcover) :",
"b103485983","FIC D","Windmills in Brooklyn.","823226279","60007774",,
"b103494340","917.4721 D286 L","Long Island /","800159205","63022606",,
"b103497377","305.7097 D","The linguistic minorities of New York City /","921306088",,"0881561142 (pbk.) :",
"b103510965","282.7472 D","The Church of St. Francis Xavier, Park Slope, Brooklyn, New York /","911565870",,,
"b103510977","282.7472 D","The Church of St. Francis Xavier, Park Slope, Brooklyn, New York /","911565868",,,
"b103512019","929.2 D","The DeLongs of New York and Brooklyn ;","791105008","75189091","091298001X",
"b103515148","B DELLA FEMINA I","An Italian grows in Brooklyn /","790107087","78011562",,
"b103525531","329.3 D383 C","Constitution of the Democratic Party in Kings County.","907009648",,,
"b103526729","285.7 D","History and characteristics of the Reformed Protestant Dutch church /","ocm01466510","36016664",,
"b103527151","051 D","Index to Brooklyn Life, 1890-1931 :","ocm37143966",,,
"b103527965","B DEMBO M","Memoirs of Mr. D /","ocm37531086",,"0964865106",
"b103531117","917.47 D41","A brief description of New York :","710391739","02001875",,
"b103539566","917.471 D","Villages and hamlets within New York City :","902110333",,,
"b103547307","307.7609 D","The Dynamics of neighborhood defense :","871066479",,,
"b103548105","364.1523 D","For the color of his skin :","911445333","91016557","0886876214 :",
"b103554610","B SCHNEERSON D","Larger than life :","ocm33189600",,"0964724308 (v. 1)";"0964724316 (v. 2)",
"b103569005","851.8 D","Love poems :","ocm40892083","99071702","1550710605 (pbk.)",
"b103569169","851.8 D","The Naples of Salvatore Di Giacomo :","ocm44947361","2001274486","1893127206",
"b103572715","974.71 D","The landmarks of New York II /","ocm27430383","93016287","0810935694",
"b103583683","373.18 D","Kids in the hall :","ocm48203948",,,
"b103591795","727.8 D","The architecture of literacy :","ocm37124564",,,
"b103591801","727.8 D","The architecture of literacy :","ocm35920943",,"1562567179 (pbk.)",
"b103591813","725.1509 D","The architecture of public justice :","ocm29522613","93205116",,
"b103596392","331.76138 D","Longshoremen :","851461144","85004048","0897890655 (hard cover)",
"b103597979","917.472 D57","The Brooklyn compendium /","871062015","01014838",,
"b103598303","974.71 D578 A","An album of New Netherland /","760006760","63009904",,
"b103600425","728.37 D57","Old Dutch houses of Brooklyn /","ocm02621388","45006223",,
"b103600917","511 D58 S","The schoolmaster's assistant :","907574392","59059526",,
"b103601752","332.1 D","[Annual report, 1986].","871169340",,,
"b103609568","917.471 D61 N","New York as it was and as it is ;","872061622","01014672",,
"b103610352","917.4723 D615 B","Brooklyn's garden :","ocm09725595","08037335";"08037335",,
"b103610844","728.8 D61","Historic homesteads of Kings County ... /","833536937","09029348",,
"b103611514","974.72 D61","The small beginnings of literature in Kings County :","871285106",,,
"b103613031","796.75 D","Brooklyn Kings :","ocm40707016","99012028","1576870448",
"b103613195","097 D62","Concerning book-plates ;","906942063",,,
"b103625926","245 D11 B","Belfry voices. :","906599569",,,
"b103630995","779.097423 D","Bridge of dreams :","ocm41564927","99016548","1555951732 (pbk. : alk. paper)",
"b103631136","686.209 D","Long Island printing, 1791-1830 :","ocm04774747","79011252","0890620717",
"b103631628","360 N56 Pc","Child-Caring Institutions.","897007641",,,
"b103635750","917.471 D","Guide to New York City landmarks /","ocm36922554","97021378","0471182893 (alk. paper) :",
"b103637977","J 917.4723 D","This is Brooklyn :","911074918",,,
"b103637989","917.4723 D","This is Brooklyn :","907888436",,,
"b103645056","628.925 D","First due :","811678587","80067852",,
"b103653119","364.36 D","The Ville :","931338784","93026119","039563315X :",
"b103653181","974.7 D678","Vertoogh van Nieu Nederland :","834435857","01022224",,
"b10365611x","973.75 D71","A brief sketch of the first Monitor and its inventor :","907196869","05002278",,
"b103673003","917.472 D72","Long Island :","871097981","39011065 rev.",,
"b103677926","364.36 D74 S","A study of the individual and community aspects of a teen-age gang killing in Brooklyn.","906634680",,,
"b103679686","362.96 D752 R","Downtown Brooklyn ... a reconnaissance ;","907518128",,,
"b103682508","610.7 D","Medical education in Brooklyn, the first hundred years, 1860-1960. :","906716127","61009742",,
"b103688328","343 D75","Plymouth Church and its pastor ;","896907535","33009867",,
"b103692940","307.336 D","A house is on the outside, a home is on the inside :","911436106",,,
"b103698322","236 D78 E","An essay on the identity and general resurrection of the human body :","906579517",,,
"b103703883","B DRING R","Recollections of the Jersey prison-ship; :","ocm04417145","03008090",,
"b103703895","B D779","Recollections of the Jersey prison ship :","906534690",,,
"b103703901","B D779 A","Recollections of the Jersey prison ship, from the manuscript of Capt. Thomas Dring /","710061855","61008153",,
"b103704875","283 D79 C","A commemorative discourse delivered on the occasion of celebrating the completion of the tower and spire of the Church of the Holy Trinity, Brooklyn, L.I., December 19, 1867 :","906629665",,,
"b103705077","252 D791","The end of pride :","906740964",,,
"b103711417","796.357 D","Once a Bum, always a Dodger /","906120667","89027080","0312039026",
"b103718035","309.1747 D","A community study of Brownsville, Brooklyn, New York /","ocm24584143",,,
"b103730114","016.328 CHISHOLM D","Shirley Chisholm :","ocm17549373","88002073","0810821052",
"b103748118","974.7 D92 H","History of the New Netherlands, Province of New York, and State of New York, to the adoption of the Federal Constitution.","720302380","01015817",,
"b103763740","796.3 D95 D","The Dodgers :","823083984","48006693",,
"b103767551","B DUROCHER","Nice guys finish last /","750155167","75001462","0671220578",
"b103780919","917.4723 D","Great shopping in Brooklyn /","ocm20103302",,,
"b103783702","974.721 D","Anecdotes and events in Long Island history.","710066691","70008296",,
"b103784032","920.07472 D","The human story of Long Island.","700374476","76008295",,
"b103784573","B WHITMAN D","Whitmanland :","810064307","60001964",,
"b103787434","370.4 E12","An address delivered at the opening of Eames and Putnam's English and Classical Hall, Brooklyn, Long Island, March 24th, 1831.","897013822",,,
"b103787586","367 E12","An introductory lecture :","896993485",,,
"b103787768","B COOK","Winner lose all ;","730185089","73003410","0316200700",
"b103788116","J 917.47 E","Colonial days in old New York.","740440526","01015834",,
"b103790858","917.4723 E13 V","A bit of Dutch history.","871243083",,,
"b103791553","974.723 H44","East Brooklyn, 1637, 1860, 1922 :","871328641",,,
"b103792156","974.723 E 13","Good old east New York ;","800202739","44000120",,
"b103793434","332.21 E","Our centennial Year, 1968.","ocm00605409","72184601",,
"b103794177","370.7 B87 E","The story of the Brooklyn Institute of Arts and Sciences, 1824-1924.","906460617","28028084",,
"b103795509","370.4 E14","Illiteracy and its social, political and industrial effects. :","896886109","08006606",,
"b10379914x","974.72 E16","Manor houses and historic homes of Long Island and Staten Island.","720077747","28030240",,
"b103803191","367 E","By-laws of the Eckford Social Club.","ocm44125267",,,
"b103816938","974.71 E","Literary New York :","921603571","91007170","0879053925",
"b103818303","362.1109 E","Brooklyn first :","941082428",,,
"b103822288","070.449 E","Fridays with Red :","931353774","93027809","0671870130 :",
"b103822562","027.47471 E","The history and development of the New Utrecht branch of the Brooklyn Public Library /","821095963",,,
"b103822574","338.09747 E","An historical and descriptive review of the City of Brooklyn /","ocm07565283",,,
"b103822586","338.09747 E","An historical and descriptive review of the city of Brooklyn and her manufacturing and mercantile industries, including many sketches of leading public and private citizens /","871284964",,,
"b103830571","796.35764 E","Heroes of the game :","ocm36583319","92006447","068981352X (pbk.) :",
"b103830807","796.357 E","The Macmillan book of baseball stories /","923370352","92006447","0027332802 :",
"b103832385","610.9 E29 H","The history of the Hoagland Laboratory /","906725203",,,
"b103841520","378.7471 E34 B","Brooklyn College :","896964357",,,
"b103844296","296.8332 E","Boychiks in the hood :","ocm32132028","95009838","0062512226 (cloth : alk. paper) :";"0062512234 (pbk : alk. paper)",
"b103844302","307.764 E","Being left in East New York :","ocm48203171",,,
"b103844739","GER 914.36 E36","Des Arion-Brooklyn Sängerfahrt nach Wien im Som mer 1928 ;","ocm19024604",,,
"b103848927","811 Whitman E","Walt Whitman's Western jaunt /","820061113","80029336","0700602127 :",
"b103864003","070.573 E","Book finds :","ocm44768887","00062429","0399526544 :",
"b103906952","264.03 E","The Book of common prayer and administration of the sacraments and other rites and ceremonies of the church :","833318252",,,
"b103908444","296.436 E","The celebration of a contemporary Purim in the Bobover Hasidic community.","871126148",,,
"b103909527","B PAPP E","Joe Papp :","ocm29548216","93046187","0316246042 :",
"b10392257x","796.35764 E","Tales from the Dodger dugout /","ocm44630403","00100034","1582612463 :",
"b103926963","B DUROCHER E","The Lip :","931056988","92042006","068811895X :",
"b103928583","305.89185 E","The national parish as a factor in the assimilation of second and third generation Poles in South Brooklyn.","811523061",,,
"b103929174","814 E","Zapata's disciple :","ocm38739052","98017384","0896085899 :",
"b103933748","027.7 E79 S","A study of seven academic libraries in Brooklyn and their cooperative potential.","ocm04279654","63021762",,
"b10393733x","362.7 E","Ghetto crisis ;","700193105","69015062",,
"b103941903","097 E92","A census of bookplate collections in public, college and university libraries in the United States. :","886308088","40007899",,
"b103949021","917.5 E92","Southern pilgrimage.","907370718",,,
"b103950990","813.03 E","The Brooklyn novel and the Brooklyn myth ;","780164148","69061509",,
"b103953759","974.723 E","Rowboats to rapid transit :","833976446",,,
"b103958472","367.062 E96 E","The Excelsior Club [1854-88].","906634375",,,
"b103969111","362.16 F","Annual report.","ocm30773103",,,
"b103969184","B FAISON B","Brooklyn boy remembers /","ocm31470303",,,
"b10397409x","352 F18","Brooklyn's guardians ;","834353360",,,
"b103975688","B ROBINSON F","Great time coming :","ocm31607258","94044876","0671793365 :",
"b103989651","323.40924 F","Lay bare the heart :","851019565","84024297","0877956243 (alk. paper)",
"b103996503","252 F23 W","What is truth :","906716002",,,
"b104000703","385 F","The Brooklyn and Rockaway Beach Railroad, the Canarsie Railroad /","833917492",,,
"b104008891","097 G87","A catalogue of an exhibition of angling book plates :","907003379","02009718",,
"b104012109","361 B87 F","First  annual report of the Brooklyn Federation of Jewish Charities :","ocm35570534",,,
"b104013023","296.09747 F293 J","The Jewish population of the New York area, 1900-1975 /","856300000","60019165",,
"b104013965","917.471 F29 NG3","New York City guide.","730170898","76145011","0403007917",
"b10401801x","974.723 F","Brooklyn, U.S.A. :","871311571",,,
"b104019190","712.0924 OLMSTED F","Frederick Law Olmsted and the American environmental tradition.","730017084","72075831",,
"b104019244","917.471 F299 F","The face of New York ;","791030427","54011181",,
"b10401975x","027 F","Historical information regarding the Brooklyn Public Library /","851000908",,,
"b104021408","917.471 F","New York in the forties /","790011589","77087344","0486235858 :",
"b104027071","974.72 G79","Historic Green Point ;","720227708","19010156",,
"b104029572","907.2 F","Researching, writing, and publishing local history /","821135692","81010935","0910050538",
"b104038901","811 F","A Coney Island of the mind :","ocm00284358","58007150","9780811200417";"0811200418",
"b104039942","B B563 F2","A discourse in commemoration of the life and character of the late George W. Bethune, D.D. :","ocm13527364",,,
"b104043258","025 F 35","The "hole in the ground" that became the Central Building of the Brooklyn Public Library :","ocm32151684",,,
"b104058298","973.8 F43","Troop "C" in service ;","833077919","99005832",,
"b104062824","974.723 F45 H","Historic and antiquarian scenes in Brooklyn and its vicinity :","871321091","01014840",,
"b104065709","323.1196 F","The politics of race in New York :","821297896","81070717","0801414083",
"b104068693","133.9 F","The cultural dynamic of Puerto Rican spiritism :","855684291",,,
"b104077189","B KEITEL F","Harvey Keitel :","ocm38925095","97052078","0880641916 :",
"b104085526","285 B87 F3","The celebration of the centennial anniversary of the First Presbyterian Church, Brooklyn - New York.","ocm22633074",,,
"b104088588","345.01 F","The Bronx and Brooklyn district attorneys offices :","871092208",,,
"b104090327","974.723 F","Confessions of a trolley dodger from Brooklyn /","ocm32615549","95075024","1882608100 :",
"b104092725","917.472 F53","Flatbush, past & present /","800210837","10030575",,
"b104098594","974.703 F","New York State :","791128119","76365229","0533021286 :",
"b104100825","283 F53","St. Ann's Church, Brooklyn, New York :","906603887","01000659",,
"b104102317","388.428 F","The subway :","ocm38283116",,"1882608194 (hbk.) :",
"b104108599","974.72304 F","I saw a century blossom /","ocm10696040","84007622","0802224539 :",
"b104110144","973.371 F","The New-York diary of Lieutenant Jabez Fitch /","770182485","78140881",,
"b104111525","796.357 F","The story of the Brooklyn Dodgers /","ocm06883197","49002895",,
"b104112566","271.7 F559 V","Vincentians in Brooklyn, 1855-1955 :","906626633",,,
"b104115452","974.72 B87 FT","Fifty and seventy-five years of service, 1875-1899-1950.","871278733",,,
"b104118271","285.7747 F","Records of the Reformed Protestant Dutch Church of Flatbush, Kings County, New York /","ocm41038020","98074035","0962819417 (v. 1)",
"b104120824","398.232 F","The Brooklyn chronicles :","ocm38525314",,"0965797406",
"b104123278","331.833 F59E","An evaluation of Manhattan Beach Veteran's Housing Project.","906632701",,,
"b104123497","B MCGOVERN F","The fistic career of Terry McGovern /","ocm11539126",,,
"b104129098","362.188 F","Rescuing a neighborhood :","ocm30812788","94028097","0802783309 (reinforced) :";"0802783295",
"b104133107","974.72 F62","Early Long Island, a colonial study /","840003482","10028287",,
"b104133557","974.721 F624 L","Long Island before the Revolution ;","690065478","67016257",,
"b104135025","974.71 F64","Backward glances :","800210584","14016972",,
"b104144658","355.7 F","America's armories :","ocm19355117","89030999","0674031105 (alk. paper)",
"b104161796","025.84 F","Disaster planning and recovery :","ocm25026616","91044347","1555700594 (pbk.) :",
"b104164384","974.71004 F","The girls :","ocm40943418","99020745","0791443639 (alk. paper) :";"0791443647 (pbk. : alk. paper)",
"b104164463","333.38 F699","Gordon L. Ford, respondent, against George L. Sampson, appellant ...","896867818",,,
"b104172149","974.71 F","A proposal for the designation of Fort Greene as an historic district :","823475175",,,
"b104178590","394.264 F","West Indian-American carnival :","ocm44051708",,,
"b104190176","973.7 F","Souvenir of the dedication of the Brooklyn Fourteenth Regiment monument on the battlefield of Gettysburg, Pa., October 19th, 1887.","ocm34006907",,,
"b104192896","097 F78","Lincolniana book plates and collections.","906971406","13007511",,
"b104195903","711.58 F","The Brooklyn/Queens Greenway :","ocm23587290",,,
"b104196658","FIC FOX","Desperate characters /","ocm40396152","98051183","039331894X :",
"b104205453","720.25 F","Architects in practice, New York City, 1840-1900 /","801378591","80065362",,
"b104207048","B F8341","Bullfighter from Brooklyn, an autobiography ;","823044122","52010661",,
"b104207796","808.8 F","Brooklyn prospects :","861448314",,"0960395075",
"b104209987","289.92 F","Crisis of conscience /","841255587","83062637","0914675001 :",
"b104225312","097 F83","Notes on bookplates /","906920182","16008969",,
"b104231373","974.72 F84","The stone house at Gowanus :","800211168","10001079",,
"b10423815x","917.471 F852 A","All around New York /","833422811","61015076",,
"b104238458","367.062 F855 A","Aurora Grata Club of Brooklyn.","907593405",,,
"b104239682","025 F 85","The Brownsville Children's Branch of the Brooklyn Public library :","ocm34489621",,,
"b104240544","027.474723 F","The Brooklyn Public Library :","ocm40597576",,,
"b104240684","917.4723 F","Brooklyn :","911253122","90019120","0312053959",
"b104242061","366.1 F","Complete history of Widow's Son Lodge No. 11, F. & A.M., Prince Hall, 1849-1970.","ocm14703659",,,
"b104245888","366.1 F855 F","First historical report of the ... Brooklyn masonic veterans ... from date of organization, November 26, 1888, to June 30, 1894 /","906634933",,,
"b104247356","917.47 F87 A","Gazetteer of the state of New York :","907198926",,,
"b104248361","366 F85 Ba","History of Altair Lodge, no. 601, F. and A.M. from its inception in 1865 :","ocm22472351",,,
"b104248415","366 F85 B","History of Fortitude Lodge, no. 19, F. and  A.M. third masonic district, State of New York from the year 1799-1899 /","ocm22632762",,,
"b104248579","366 F85 NG","History of the Grand Council, Royal and Select Masters of the State of New York, from its inception to 1873.","897011614",,,
"b104251165","366 F85 Ban","Looking back at eighty-four years of progress in Anglo-Saxon Lodge no. 137, Free and Accepted Masons in the State of New York, and the passing in review of its many activities /","897011753",,,
"b10425211x","796.323 F","The last shot :","ocm30894933","94031545","0395597706 :",
"b104254683","364.36 F","Out of the burning :","ocm01039842","60008625",,
"b104261717","286.1092 F","Upon this rock :","941029870","92053323","0060924594",
"b104261729","286.1092 F","Upon this rock :","931015475","92053323","006016610X (hard) :",
"b104262217","305.562 F","Working-class New York :","ocm43083402","99087940","1565845757 :";"9781565845756";"1565847121 (pbk.) :";"9781565847125 (pbk.)",
"b104263830","745.0973 F","America's forgotten folk arts /","790098000","78051790",,
"b104265735","369.1062 F911 C","Centennial celebration, 1861-1961.","906634907",,,
"b104271620","690 F","The investigation of buildings /","ocm43694329","00029184","0393730549 :",
"b104275352","730.74 F","New York civic sculpture :","760238189","75009179","0486232581 :",
"b104275996","791.068 F","A pictorial history of the carousel.","760245716","64017409",,
"b104276174","624.2 F","The proposed Narrow Bridge and development of its arterial highway system.","907579621",,,
"b104284018","J FIC F","Gowanus dogs /","ocm39458982","98035523","0374310580 :",
"b104284584","974.723 F","It happened in Brooklyn :","931342973","93019356","0151143668 :";"015600237X :",
"b104285886","796.35764 F","New York City baseball ;","801257494","79027628","0025417002";"0689706847",
"b104291369","382.7 F","Necessity of a protective tariff :","907596437",,,
"b104294097","FIC FUCHS","The Williamsburg trilogy :","791364652",,,
"b10429985x","634 F96 G","The grape culturist :","896983030","agr15001636",,
"b104305630","630 F96","Address delivered before the Queens County Agricultural Society ... :","897013036",,,
"b104305733","974.72 F98","Antiquities of Long Island /","823311206","01014149",,
"b104307778","818 F","Long Island miscellanies /","ocm20787503","24010392",,
"b104308114","974.72 F98 N2","Notes geographical and historical, relating to the town of Brooklyn, New York in Kings County on Long-Island.","ocm34488903",,,
"b104312609","974.72 G","Brooklyn, New York in vintage postcards /","ocm43622157",,"0738587869 (pbk.) :";"9780738587868 (pbk.) :";"0752412477 :";"9780752412474 :",
"b104313158","974.72 G11","The evolution of Long Island :","871324388",,,
"b10431316x","974.721 G118 E","The evolution of Long Island ;","740457987",,,
"b104314102","B WOODHULL G","Notorious Victoria :","ocm37245836","97027151","1565121325 :",
"b104315805","097 G12","Book-plates--old and new.","906930006",,,
"b104325732","973.332 G","The Battle of Brooklyn, 1776 /","ocm31936005","95000712","188511902X :";"1885119690 (Da Capo pbk.)";,
"b104340800","759.13 CHASE G","William Merritt Chase :","ocm42863334","99053543","0872731405 (Museum pbk.)";"0810945584 (Abrams)",
"b104341634","301.451 G","Blood of my blood :","801029958","75307228","0385075642 (pbk.) :",
"b104376971","283 B87","The old and the new ;","856393257",,,
"b104409149","331 G29","Housing standards in Brooklyn ;","906861958","19009211",,
"b104427516","917.4723 G","The complete guide to Brooklyn :","911545222",,"0884330028",
"b104428569","912.747 G","Five borough atlas of New York City.","907295984","map66000646",,
"b104436220","324.09747 G","Building the Brooklyn machine :","ocm24393683",,,
"b104448714","B GETZ B","Brooklyn boy :","ocm48069333",,"0960807624 :",
"b104448726","796.35764 G","Brooklyn Dodgers and their rivals, 1950-1952 /","ocm41326852","97092686","0960807616 :",
"b104493537","625 G46","The subways and tunnels of New York :","823272632","12010459",,
"b104496812","731.760974 G","Victorian cemetery art /","831172630","71175421","0486227855",
"b104499333","917.4723 G","Brooklyn's best :","ocm39605223","98030502","1885492650",
"b104505035","917.4723 G","Sunset Park walking tours :","ocm34346125",,,
"b104513913","309.1747 G551 A","All neighborhoods change :","906750915",,,
"b104517311","B SCHORENSTEIN G","Hymie Schorenstein, a political biography /","831704223",,,
"b104525083","917.4723 G5580","Old Bay Ridge.","871236026","63039485",,
"b104531496","974.723 G","Brooklyn :","911474904","91010932","0810931184";"0810991780 (pbk.) :",
"b104548113","361 B","100 years of concern for human needs, 1866-1966 /","ocm32865139",,,
"b104550119","796.357 G","Bums--an oral history of the Brooklyn Dodgers /","841345425","84002167","0399128468",
"b104559779","917.471 G","History preserved ;","740296707","73019096",,
"b104566358","363.7009 G","The New York environment book /","906641433","90004024","1559630191 (alk. paper)";"1559630183",
"b104566784","B WOODHULL G","Other powers :","ocm38014065","97049464","0394555368 :",
"b104567107","305.8 G","Peoples apart :","ocm46895339",,,
