001,010,020$a,022$a,245$a
"ocm35950052",,,,"The unwearied God :"
"ocm35765672",,,,"The aim of preaching :"
"ocm35799136",,,,"The angel :"
"ocm35799287",,,,"The Christian faith or what? :"
"ocm35771704",,,,"The church glorious :"
"ocm35766227",,,,"Christian re-union :"
"ocm35778326",,,,"""Deep calleth unto deep"" /"
"ocm35778200",,,,"The eternal Christ or a temporary Christ -- which? /"
"ocm35765565",,,,"""How to be abased and how to abound"" :"
"ocm35772627",,,,"The law of rest /"
"ocm35778136",,,,"The man Christ Jesus /"
"ocm35799566",,,,"The old ways :"
"ocm35772218",,,,"A sacramental meditation :"
"ocm35798944",,,,"Our Feast of Tabernacles :"
"ocm35772344",,,,"Patriotism /"
"ocm35772079",,,,"Polytechnic Institute :"
"ocm35778440",,,,"The program of history :"
"ocm35771826",,,,"Securities secured /"
"ocm35778614",,,,"Sermon /"
"ocm35771758",,,,"Sunday -- what shall we make of it? /"
"ocm35765466",,,,"A Thanksgiving Day sermon :"
"ocm35817962",,,,"""Those things that are most surely believed among us"" :"
"ocm17862490",,,,"What we believe :"
"on1032659822",,,,"The bright and the blessed destination of the world:"
"ocm35815681",,,,"A shot at the decanter /"
"ocm36026789",,,,"If Jesus came to our church, what? :"
"ocm25781017",,,,"The panacea for poverty /"
"ocm36160204",,,,"Sanctified spice, or, Pungent seasonings from the pulpit /"
"ocm11408438","\\$a19002926",,,"The breath in the winds,"
"ocm11392140","\\$a16021412",,,"The enchanted universe,"
"ocm06094679","\\$a19018656",,,"God's faith in man :"
"ocm00982649","\\$a15021644",,,"The new personality,"
"ocm32935298",,,,"The Reformed Dutch Church--a goodly heritage :"
"ocm27243635",,,,"Sower and gospel field-- extra."
"ocm34900430",,,,"A discourse delivered Sunday, February 22d, 1863 :"
"ocm02766301","\\$a00000301",,,"New epistles from old lands :"
"ocm36268758",,,,"Sermon prepared by the late Rev. Peter Vreeland Van Buskirk in commemoration of the Twenty-fifth anniversary of his pastorate in the Gravesend Dutch Reformed Church :"
"ocm04588920",,,,"Our best moods :"
"ocm22355322",,,,"Sermon preached in the Central Reformed Protestant Dutch Church, Brooklyn, on Sabbath morning, the 27th day of July, 1851."
"ocm06118494",,,,"Things of ... Northfield and ... other things that should be in every church /"
"ocm36477985",,,,"Constitution of the Sabbath School of the Reformed Church of Flatlands :"
"ocm34048699",,,,"Dedication of memorial trees by the Van Voorhees and the Wyckoff families, May twenty-second, nineteen thirty-eight /"
"ocm33384020",,,,"Flatlands Dutch Reformed Church, founded February 9, 1654 :"
"ocm28685283",,,,"The 250th anniversary of the Reformed (Dutch) Church of Gravesend :"
"ocm32942993",,,,"One-hundredth anniversary :"
"ocm35957347",,,,"Blessed anxiety :"
"ocm36477821",,,,"The Christmas advance :"
"ocm35924632",,,,"The bundle of life :"
"ocm33064384",,,,"Tercentenary of the New Utrecht Reformed Church, Brooklyn, New York, 1677-1977."
"ocm12847513",,,,"Christ's three desires for his church :"
"ocm35957968",,,,"The church :"
"ocm12847598",,,,"Free indeed :"
"ocm10137107",,,,"The Unitarian denomination - past and present :"
"ocm34347379",,,,"Unitarianism in Brooklyn :"
"ocm02326478","\\$a31024948",,,"Old and new Unitarian belief,"
"ocm09609223",,,,"The living faith of a Unitarian /"
"ocm36433183",,,,"Bearing the cross /"
"ocm35996160",,,,"On the threshing of the grain :"
"ocm36450290",,,,"The angel song :"
"ocm36450390",,,,"The art of life :"
"ocm36450799",,,,"Belief and life :"
"ocm32954186",,,,"Character making :"
"ocm36439554",,,,"The child Jesus :"
"ocm12831725",,,,"Comfort in religion :"
"ocm32954309",,,,"The crime that failed :"
"ocm32954705",,,,"The day of judgment :"
"ocm32954421",,,,"The divine example :"
"ocm05855314",,,,"The education of conscience :"
"ocm12826785",,,,"The essential piety of modern science :"
"ocm35958313",,,,"The polished shaft, or, Special lives for special uses /"
"ocm36441396",,,,"Essentials in religion :"
"ocm32954821",,,,"Faith of the doubters :"
"ocm36441966",,,,"Future punishment :"
"ocm36441520",,,,"Fate and freedom :"
"ocm35957195",,,,"What is the attitude of God's mind toward human suffering? :"
"ocm36060761",,,,"An address delivered before the Synod of New York :"
"ocm32954091",,,,"God on our side :"
"ocm32954793",,,,"God the father :"
"ocm32954113",,,,"God's love in man's :"
"ocm36026368",,,,"The tonic of prayer :"
"ocm36188212","\\$a97101359",,,"The great salvation :"
"ocm36160477",,,,"England and America /"
"ocm32954196",,,,"The great temptation :"
"ocm20870857",,,,"The hidden manna :"
"ocm27262117",,,,"The higher reverence"
"ocm32954778",,,,"The higher unitarianism :"
"ocm03581432","\\$a18021561",,,"Fighting for faith :"
"ocm36439730",,,,"The infinite life of man :"
"ocm36439494",,,,"Is life worth living? :"
"ocm09101721",,,,"Empty pews & selections from other sermons on timely topics /by Madison C. Peters."
"ocm32954240",,,,"The law of liberty :"
"ocm35903241",,,,"The light of common day :"
"ocm32954202",,,,"Life at short range :"
"ocm27261984",,,,"Man and the Bible"
"ocm36439625",,,,"The man Jesus :"
"ocm12831691",,,,"The morals of belief :"
"ocm34543900",,,,"The natural origin of Christianity :"
"ocm32954369",,,,"The Old Testament and the higher criticism :"
"ocm36131697",,,,"Sermons in songs /"
"ocm32954700",,,,"Origin and destiny :"
"ocm36131504",,,,"The Christian ministry :"
"ocm32954257",,,,"A palm Sunday lesson :"
"ocm14776437",,,,"A plea for the eldership :"
"ocm32954330",,,,"Practical ideals :"
"ocm32962168",,,,"The work of the ministry :"
"ocm35653403",,,,"The family power :"
"ocm07881568",,,,"Comparative claims of home and foreign missions :"
"ocm06513347",,,,"Every-day religion :"
"ocm18690809",,,,"Headlights on the highway :"
"ocm31394042",,,,"The masque torn off /"
"ocm36266292",,,,"Sermons /"
"ocm04470453",,,,"Trumpet peals :"
"ocn506970480","\\$a95854244",,,"How old art thou? :"
"ocm36577949",,,,"The temporal benefits of the Bible :"
"ocm04012022","\\$a03012773",,,"The open door /"
"ocm02145179","\\$a13025808",,,"Straight sermons to young men and other human beings :"
"ocm21002911",,,,"Jubilee sermon :"
"ocm38927954",,,,"1867-1887 twentieth anniversary of the founding of the Classon Avenue Presbyterian Church, Brooklyn, N.Y. :"
"ocm38874440",,,,"History of the Noble Street Presbyterian Church of Brooklyn :"
"ocm38868281",,,,"The confession of faith and covenant of the Second Presbyterian Church in Brooklyn, New York."
"ocm38571809",,,,"Siloam United Presbyterian Church :"
"ocm38825801",,,,"One hundredth anniversary, Lafayette Avenue Presbyterian Church, Brooklyn, New York :"
"ocm36272412",,,,"The Puritan as a character in history :"
"ocm22201014",,,,"The churches of the Huguenots and the religious conditions of France /"
"ocm02751872",,,,"The Huguenot migration in Europe and America :"
"ocm03227151","\\$a06039862",,,"History of the Huguenots /"
"ocm13145877",,,,"A rational church :"
"ocm36439834",,,,"Rational religion :"
"ocm36439925",,,,"Rational sacraments :"
"ocm32954275",,,,"The reign of law :"
"ocm36450215",,,,"Religion and morality :"
"ocm32954445",,,,"Religious ideals and religious unity :"
"ocm32961601","\\$a97101368",,,"A revival of religion :"
"ocm32954652",,,,"Revivals of religion :"
"ocm12842328",,,,"The rise of man :"
"ocm36452851",,,,"The rising faith :"
"ocn504284798",,,,"History of the French Protestant refugees, from the revocation of the edict of Nantes to our own days."
"ocm32954156",,,,"The rock of ages :"
"ocm10818551",,,,"The sacred scriptures :"
"ocm27261895",,,,"Self-respect"
"ocm36452918",,,,"Simplicity of true religion :"
"ocm38561128",,,,"The Reformed Church in the Netherlands :"
"ocm32954825",,,,"The state of the nation :"
"ocm32954110",,,,"These troubled times :"
"ocm32954292",,,,"Thomas Henry Huxley :"
"ocm03044478","\\$a66021948",,,"Historical directory of the Reformed Church in America, 1628-1965 /"
"ocm36453004",,,,"The victory over death :"
"ocm38491063",,,,"Centennial discourses :"
"ocm32954398",,,,"The wandering jew :"
"ocm32954190",,,,"What is commercialism? :"
"ocm27256823",,,,"Who are the infidels?"
"ocm32954430",,,,"The wisdom of fools :"
"ocm05567066","\\$a79313376",,,"Sermons /"
"ocm14696031",,,,"Reproduction of historical discourse :"
"ocm36397153",,,,"The burning heart /"
"ocm01281834",,,,"The motives and methods of the Sunday school :"
"ocm36397263",,,,"A practical Christianity /"
"ocm36375625",,,,"The uncertain sound /"
"ocm35894229",,,,"The cry of the poor man, and its answer :"
"ocm36375460",,,,"The wings of the morning /"
"ocm31527543",,,,"The duty of a Christian minister :"
"ocm36734633",,,,"Christian consolation for bereaved parents :"
"ocm00931042",,,,"Genius :"
"ocm00944471",,,,"Paul, the missionary :"
"ocm36440105",,,,"Inspiration :"
"ocm24675121",,,,"Strength of Christian charity :"
"ocm36100266",,,,"Address to the teachers and scholars of the sunday school of the First Unitarian Society, Brooklyn, N.Y. /"
"ocm36435087",,,,"An Advent slogan /"
"ocm26409497",,,,"Thanksgiving and thank-offerings :"
"ocm27396642",,,,"The church and war /"
"ocm36399987",,,,"The confession of an enthusiast /"
"ocm36400405",,,,"The faith of a pioneer church /"
"ocm36372908",,,,"A fixed point in eternity :"
"ocm26409393",,,,"The unity of the Church :"
"ocm36373301",,,,"Lightning flashes through tumultuous years /"
"ocm09343902","\\$a23012903",,,"The fascination of the unknown /"
"ocm36400038",,,,"The meaning of a great word /"
"ocm36409965",,,,"Must we bolt the door in the face of Christ? :"
"ocm35898963",,,,"Truths recalled :"
"ocm01475766",,,,"The pacifist faces the aggressor."
"ocm38436147",,,,"The one hundredth General Synod, Reformed Church in America, June, 1906 :"
"ocm35896420",,,,"A sermon preached in the Reformed Church :"
"ocm36373171",,,,"A religion for a new age of reason /"
"ocm36061897",,,,"Historical sermon commemorative of the twenty-fifth anniversary of the organization of the Reformed Church-on-the-Heights, Brooklyn, N.Y. /"
"ocm36400786",,,,"The thankful heart /"
"ocm36373062",,,,"To be or not to be? /"
"ocm36410982",,,,"Today's world mission of liberal religion :"
"ocm36410209",,,,"The Unitarian message for these times :"
"ocm36410695",,,,"Unitarianism :"
"ocm34349609",,,,"The history of the Reformed Church through heraldry :"
"ocm05755000",,"0517109085",,"Heraldry, ancestry and titles :"
"ocm36772926",,,,"Gaelic titles and forms of address :"
"ocm03000729","\\$a67028254",,,"What to say in your genealogical letters :"
"ocm01964511",,,,"Genealogical research standards."
"ocm04136972","\\$a77074819","0810314002",,"Black genesis /"
"ocm01549392",,,,"Who's where in your genealogical records? :"
"ocm13925815",,,,"Meyer's directory of genealogical societies in the U.S.A. and Canada :"
"ocm01200647","\\$a81127360",,,"Professional techniques and tactics in American genealogical research /"
"ocm03022231","\\$a77077313",,,"U.S. counties /"
"ocm06588928",,,,"Some of the military records of America, before 1900 :"
"ocm13972320",,,,"The counties of the United States and their genealogical value :"
"ocm07813210","\\$a81080710","0940134012 :",,"The complete book for tracing your Irish ancestors /"
"ocm05678798","\\$a79089349","0806308664",,"The Magna Charta sureties, 1215 :"
"ocm09378577","\\$a09025096",,,"The Magna charta barons and their American descendants with the pedigrees of the founders of the Order of Runnemede deduced from the sureties for the enforcement of the statutes of the Magna charta of King John /"
"ocm00069593","\\$a75100826",,,"Some Magna Carta Barons' and other royal lineages /"
"ocm01994228","\\$a76350149",,,"The quiet adventurers in America :"
"ocm07359463","\\$a81132895","0850110335 :",,"Burke's presidential families of the United States of America /"
"ocm04833968","\\$a78322755",,,"Passamaquoddy :"
"ocm01862119",,,,"Research in England :"
"ocm10319687","\\$a84122164","085033473X :",,"English genealogy /"
"ocm00840069","\\$a11005182",,,"Our English ancestors /"
"ocm02491903","\\$a75043394","0915156016",,"Feudal genealogy /"
"ocm00991385","\\$a67021815",,,"A list of wills, administrations, etc. in the Public Record Office, London, England, 12th-19th century."
"ocm09897377","\\$a82187827","0003058506",,"A guide to genealogical sources in the Borthwick Institute of Historical Research /"
"ocm06286774","\\$a80080349","0915156237 (pbk.)",,"Lord Mayor's Court of London :"
"ocm01036950",,,,"Scottish and Scotch-Irish ancestry research."
"ocm00969463","\\$a73020957","084670028X",,"Your Irish ancestors /"
"ocm01648823","\\$a67103749",,,"A simple guide to Irish genealogy /"
"ocm05024104",,,,"A supplemental report on genealogical research in Ireland :"
"ocm00941006","\\$a74166451","0950245518",,"Handbook on Irish genealogy :"
"ocm04623375",,,,"How and where to research your ethnic-American cultural heritage :"
"ocm01120475","\\$a74189945","0717948404 :",,"Irish family names :"
"ocm00508024","\\$a72010820","0806305436",,"Visitation of Ireland /"
"ocm01517874",,,,"A genealogical history of the Milesian families of Ireland."
"ocm01824147","\\$a09019108",,,"A genealogical history of the Milesian families of Ireland :"
"ocm08968772",,,,"How and where to research your ethnic-American cultural heritage :"
"ocm19659091","\\$a88083954","0806312505 :",,"In search of your Canadian roots /"
"ocm28244027",,,,"Tracing your Greek ancestry :"
"ocm07564017","\\$a86657600$z86204100",,"0419-9464","The Danish genealogical helper."
"ocm02788924",,,,"Major genealogical record sources in Norway."
"ocm00281157","\\$a70184040",,,"Irish families; their names, arms, and origins /"
"ocm15680695",,,,"Your book of surnames."
"ocm07762256",,"3518065653",,"Deutsches Namenlexikon :"
"ocm12537383",,,,"Eliot, Brainerd und Zeisberger :"
"on1004917191",,,,"Silhouettes of my contemporaries /"
"ocm28570752",,,,"Ex libris :"
"ocm33438580",,,,"Address at the funeral of Dr. David B. Coe /"
"ocm34723773",,,,"The brothers Graham /"
"ocm34232370",,,,"In memoriam :"
"ocm34456542",,,,"In memoriam :"
"ocm35224166",,,,"In memoriam :"
"ocm35018073",,,,"Biographical sketches of Benjamin D. Silliman and Augustus E. Silliman :"
"ocm24478856",,,,"Biographical sketches of Benjamin D. Silliman and Augustus E. Silliman."
"ocm01084975",,,,"Arthur and Lewis Tappan :"
"ocm35272190",,,,"Truxtun-Decatur."
"ocm30521143",,,,"In memoriam Frederic Augustus Ward and Alfred Eugene Mudge :"
"ocm20975383",,,,"In memoriam, John Metcalfe Ward and Nathaniel Holmes Clement :"
"ocm35562796",,,,"Memorial services :"
"ocm35315004",,,,"Mount Carmel remembers /"
"ocm02113615",,,,"Young men in aeronautics :"
"ocm00467071",,,,"The Roosevelt family in America :"
"ocm05765487","\\$a24028248",,,"The Talmadge sisters :"
"ocm38131955",,,,"Grahams Polley /"
"on1016425962",,,,"What Christianity means to me :"
"ocm05530706",,,,"A son of the frontier /"
"ocm29885851",,,,"Sunshine among the mountains :"
"ocm36372843",,,,"We have a faith to keep :"
"ocm36400964",,,,"We highly resolve /"
"ocm36409765",,,,"What happens to you at a church service? /"
"ocm36409628",,,,"What has liberal religion to say to the perplexed? /"
"ocm36401339",,,,"What seest thou? /"
"ocm36400560",,,,"Who is Satan? /"
"ocm36400094",,,,"The world slept when angels sang :"
"ocm36400180",,,,"Your share in fate :"
"ocm24817719",,,,"Parting words :"
"ocm32957963",,,,"The word preached. :"
"ocm37494441",,,,"An admission of ignorance /"
"ocm37459101",,,,"Amnesty and the American dream /"
"ocm37494624",,,,"The truth of loneliness /"
"ocm37494306",,,,"Vietnam :"
"ocm34242736","\\$a96178405",,,"A happy new year :"
"ocm34757536",,,,"The whole family of God :"
"ocm36401858",,,,"The Church of the Saviour :"
"ocm27882851",,,,"Historical discourse /"
"ocm18504388",,,,"Brooklyn in the 21st century /"
"ocm32606311",,,,"An American Revolutionary War relic from Brooklyn, New York /"
"ocm01841427",,,,"Management of archives and manuscript collections for librarians /"
"ocm07943795",,"0906428092;0907099068",,"Bishops transcripts and marriage licences, bonds and allegations :"
"ocm07965691",,"0906428076;0907099017",,"A simplified guide to probate jurisdictions :"
"ocm04833753","\\$a78113522",,,"Inventory of church records of the British Isles /"
"ocm02137307","\\$a76352382","0950395102 :",,"Original parish registers in record offices and libraries /"
"ocm13007389","\\$a85110397",,,"The First supplement to Original parish registers in record offices and libraries."
"ocm10878270",,"0950395137 (pbk.)",,"The Second supplement to Original parish registers in record offices and libraries /"
"ocm10878280",,"0950395153 (pbk.)",,"The Third supplement to Original parish registers in record offices and libraries. /"
"ocm03033792","\\$a77356799","0903857065 :",,"A handlist of parish register transcripts in the Borthwick Institute of Historical Research /"
"ocm12161821","\\$a82244779",,,"A supplementary guide to the archive collections in the Borthwick Institute of Historical Research /"
"ocm09664565","\\$a84117939",,,"Guide to historical resources in Allegany County, New York repositories."
"ocm08463044",,,,"Guide to historical resources in Cattaraugus County, New York, repositories."
"ocm08204252",,,,"Guide to historical resources in Cayuga County, New York, repositories."
"ocm08808497",,,,"Guide to historical resources in Chautauqua County, New York, repositories."
"ocm08875682",,,,"Guide to historical resources in Chenango County, New York, repositories."
"ocm07972850",,,,"Guide to historical resources in Cortland County, New York, repositories."
"ocm08288655",,,,"Guide to historical resources in Delaware County, New York repositories."
"ocm08191050",,,,"Guide to historical resources in Livingston County, New York, repositories."
"ocm09664610",,,,"Guide to historical resources in Madison County, New York, repositories."
"ocm08463005",,,,"Guide to historical resources in Niagara County, New York, repositories."
"ocm08463034",,,,"Guide to historical resources in Ontario County, New York, repositories."
"ocm08463021",,,,"Guide to historical resources in Orleans County, New York, repositories."
"ocm08580566",,,,"Guide to historical resources in Otsego County, New York, repositories."
"ocm10545288",,,,"Guide to historical resources in Rensselaer County, New York, repositories /"
"ocm09664706",,,,"Guide to historical resources in Saratoga County, New York, repositories."
"ocm07972839",,,,"Guide to historical resources in Schuyler County, New York, repositories."
"ocm08757564",,,,"Guide to historical resources in Seneca County, New York, repositories."
"ocm08074561",,,,"Guide to historical resources in Steuben County, New York, repositories."
"ocm07972880",,,,"Guide to historical resources in Tioga County, New York, repositories."
"ocm07972902",,,,"Guide to historical resources in Tompkins County, New York, repositories."
"ocm08191178",,,,"Guide to historical resources in Wayne County, New York, repositories."
"ocm08191145",,,,"Guide to historical resources in Wyoming County, New York, repositories."
"ocm07121463",,,,"Guide to historical resources in Yates County, New York repositories."
"ocm02547156",,,,"Pennsylvania area key :"
"ocm02764527",,,,"Allegheny County, Pennsylvania [area key] :"
"ocm33934692",,,,"Catalogue of the valuable and highly interesting collection of coins, medals and tokens :"
"ocm02872781",,,,"United States commemorative coinage :"
"ocm16241089",,"0340056142 :",,"Heraldry and genealogy /"
"ocm18019539","\\$a87207368",,,"A discourse on the life and character of John Quincy Adams /"
"ocm18019939","\\$a87211490",,,"God determines the rise and fall of princes :"
"ocm01269985","\\$a07008513",,,"Maude Adams :"
"ocm33309155",,,,"Address at the funeral of Mrs. Nancy U. Adams :"
"ocm33257631",,,,"Abraham Abraham."
"ocm33395875",,,,"Walter Monteith Aikman, 1828-1923."
"ocm03150964",,,,"Letter to the Right Reverend John Henry Hobart, D.D. :"
"ocm33226861",,,,"In memoriam :"
"ocm33849499",,,,"Albert Frederick Ruger Andresen, M.D. :"
"ocm13513047",,,,"Sir Edmund Andros /"
"ocm00911285","\\$aa 34002813",,,"A sketch of the life of Apollonius of Tyana, or, The first ten decades of our era /"
"ocm33247159",,,,"Address of R. Ross Appleton, Academy of Music, October 11th, 1897 :"
"ocm33247075",,,,"What is said about R. Ross Appleton :"
"ocm15981705",,,,"A sermon preached in All Saints' Cathedral, Milwaukee, in memory of the Rt. Rev. William Edmond Armitage, S.T.D., Bishop of Wisconsin /"
"ocm14797810",,,,"In memory of Dr. Samuel G. Armor :"
"ocm33241195",,,,"Report of the Obituary Committee on the late Prof. Samuel G. Armor, M.D., LL.D., adopted by the Medical Society of the County of Kings, December 15, 1885."
"ocm33241724",,,,"A tribute to the memory of the late Prof. Samuel G. Armor, M.D., LL. D., Dean of L.I. College Hospital, Brooklyn, N.Y."
"ocm33297566",,,,"A friend to man :"
"ocm06102289","\\$a08036386",,,"Frances Bridges Atkinson :"
"ocm07901568","\\$a16003187",,,"The efficacy of a mother's prayers :"
"ocm04193278","\\$a78054902","0394413083 :",,"Lauren Bacall by myself."
"ocm33411239",,,,"Nathaniel Bacon :"
"ocm04475993","\\$a24018665",,,"Yesterdays /"
"ocm07581548",,,,"A discourse commemorative of the late Rev. Robert Baird, D.D. :"
"ocm33240515",,,,"Biographical sermon delivered by the Rev. St. Clair Hester at the dedication of the font and baptistery given and erected in memory of the Rev. Charles Richard Baker, D.D. :"
"on1102199600",,,,"David Baldwin :"
"ocm23591080",,,,"In memoriam, Susan Hibbard Baldwin :"
"ocm15861110",,,,"Memorial to William Henry Baldwin, Jr. /"
"ocm11105622","\\$a06001701",,,"William Henry Baldwin, Jr., 1863-1905."
"ocm04152378","\\$a94840553",,,"A letter to the Rev. Dr. Beecher, Boston."
"ocm35993815",,,,"The child of grace :"
"ocm18328533",,,,"In memory of our mother [Mrs. Harriet F. Barnes]"
"ocn895274261",,,,"In memoriam: Josephine Richardson Barnes, 1843-1899."
"ocm34791690",,,,"Speech of Hon. L. Bradford Prince of Queens :"
"ocm33240808",,,,"Proceedings at the complimentary dinner and reception given to the Hon. Joseph F. Barnard, at the Pouch Gallery :"
"ocm03463054","\\$a36000066",,,"Earl Barnes :"
"ocm33297650",,,,"Snap-shots of my contemporaries :"
"ocm33309216",,,,"Journal of trip from Brooklyn to Niagara Falls in June 1841 /"
"ocm33295362",,,,"Reception and dinner of the Brooklyn Bar Association in honor of Judge Willard Bartlett :"
"ocm00338675","\\$a32030285",,,"The autobiography of William E. Barton /"
"ocm33309201",,,,"A sermon preached in Westminster Church, Brooklyn, March 5th, 1865 /"
"ocm24521882","\\$a35034809",,,"Griswold's life of Henry Ward Beecher :"
"ocm33320317",,,,"In remembrance of Mrs. Jessie Ralston Baxter :"
"ocm33320047",,,,"In memoriam :"
"ocm33241859",,,,"The country parson of the white church on the hill :"
"ocm30984499","\\$a18019705",,,"In memoriam :"
"ocm34100351",,,,"A review of the proceedings of a council at Georgetown, Mass., Aug. 15, 16, and 22, 1863 /"
"ocm01159687","\\$a40025729",,,"Metaphors, similes and other characteristic sayings of Henry Ward Beecher /"
"ocn184744542",,,,"A treasury of illustration :"
"ocm08892775",,,,"Selections from the works of Henry Ward Beecher /"
"ocm02612717",,,,"Henry Ward Beecher in England, 1886 :"
"ocm34951913",,,,"Patriotic addresses :"
"ocm34495312",,,,"Henry Ward Beecher /"
"ocm01082447",,,,"Henry Ward Beecher /"
"ocm24523830",,,,"Henry Ward Beecher :"
"ocn228706933",,,,"Ye tilt-on Beecher; or, Ye muddle of ye mutual friends :"
"ocm03411630",,,,"The Beecher trial :"
"ocm34165336",,,,"A biography of Rev. Henry Ward Beecher /"
"ocm07365467","\\$a35037069",,,"Beecher-Tilton investigation :"
"ocm00500334","\\$a35034749",,,"Beecher memorial :"
"ocm34097558",,,,"Beecher memorial :"
"ocm27879678",,,,"The Beecher scandal! :"
"ocm32954695",,,,"Henry Ward Beecher :"
"ocm13138938",,,,"Proposed memorial to the late Rev. Henry Ward Beecher /"
"ocm34134494",,,,"A tribute to Henry Ward Beecher :"
"ocm34462927",,,,"The great scandal :"
"ocm02563334",,,,"Little journeys to the homes of eminent orators : Beecher /"
"ocm05034797","\\$a38003182",,,"Life and work of Henry Ward Beecher :"
"ocm01369654","\\$a35037068",,,"Life and work of Henry Ward Beecher :"
"ocm03260026",,,,"Mr. Beecher's statement :"
"ocm02124481","\\$a37008472",,,"The life of Henry Ward Beecher :"
"ocm36651262",,,,"Life of Henry Ward Beecher :"
"ocm34161535",,,,"Sermon on the death of Henry Ward Beecher :"
"ocm34201990",,,,"Memorial service, Sunday, March 11, 1888 :"
"ocm34202128",,,,"Memorial service, Sunday, March 8, 1891 :"
"ocm19884010",,,,"Nonconformity upon the Ward Beecher case, and the protests against the memorial to him from the London Congregational ministers."
"ocm34137836",,,,"The 145th anniversary of the birth of the Rev. Henry Ward Beecher, June 24, 1958."
"ocm01725813","\\$a33009867",,,"Plymouth Church and its pastor :"
"ocm18349259",,,,"A Plymouthite indeed :"
"ocm00834612","\\$a04021124",,,"Henry Ward Beecher :"
"ocn123529850",,,,"Seventieth birthday celebration of Henry Ward Beecher :"
"ocm03348559","\\$a35037067",,,"Anecdotes of Henry Ward Beecher /"
"ocm07681774",,,,"The Beecher-Tilton adultery scandal :"
"ocm04259913","\\$a10022043",,,"The life and services of Rev. Lyman Beecher, as president and professor of theology in Lane Seminary :"
"ocm14235667",,,,"Sermon at the funeral of Rev. Lyman Beecher, D.D., :"
"ocm01896942","\\$a04026223",,,"Lyman Beecher /"
"ocm13544354",,,,"The late Dr. Lyman Beecher /"
"ocm13001358","\\$a12040225",,,"Personal reminiscences of Lyman Beecher /"
"ocm03562678",,,,"Wilson's plea in the case of Lyman Beecher, D.D. :"
"ocm34527439",,,,"Thomas K. Beecher :"
"ocm33308995",,,,"Funeral and memorial services of Rev. Dr. Behrends."
"ocm32578842",,,,"One of Canada's explorers /"
"ocm33849385",,,,"August Belmont /"
"ocm01975103","\\$a75038366","0396072895",,"When William Rose, Stephen Vincent, and I were young /"
"ocm03110984",,,,"The autobiography of Captain Stephen Bent, 1855-1939 /"
"ocm01710158","\\$a42015707",,,"The eight million :"
"ocm00988464","\\$a12039140",,,"Bernard of Clairvaux, the times, the man, and his work :"
"ocm48144420","\\$a2001051627",,,"A history of the Incorporated Village of Plandome Heights /"
"ocm05896010",,,,"The St. John's Methodist Episcopal Church Sabbath School, Brooklyn."
"ocm62302625","\\$a2005057661","1565849922 (hc);1565848802 (pbk.);9781565849921 (hc);9781565848801 (pbk.)",,"Prophets of protest :"
"ocm01281112","\\$a03026330",,,"The story of rapid transit,"
"ocm57007982","\\$a2004027271","1402204000 (alk. paper)",,"Slave nation :"
"ocm60492308","\\$a2005013524","0872731545 (pbk. : alk. paper);1904832113 (hardcover : alk. paper)",,"An American view :"
"ocn932635449","\\$a16002717",,,"Guiljelmi Saldeni ... :"
"ocm30992527",,,,"Betts-Roosevelt letters :"
"ocm00326636","\\$a60014219",,,"Which way to Mecca, Jack?"
"ocm10324336","\\$a83168967",,,"Ain't nobody better than you :"
"ocm33235279",,,,"In memory of Mrs. Margaret R. Blossom (wife of Benjamin Blossom,) of Brooklyn, who died March 26, 1848, aged forty-nine years."
"ocm33309033",,,,"Marriage of William J. Bok to Bessie Whittemore, solemnized Thursday afternoon, January 5th, 1893, at four o'clock."
"ocm33326464",,,,"In memoriam :"
"ocm20825676","\\$a89070685","0140124020 :",,"Clara Bow :"
"ocm02703374",,,,"John Bowne, his story :"
"ocm20606553","\\$a20017137",,,"Memorial of John Eliot Bowen /"
"ocm00636030","\\$a24002484","083696666X",,"Braxton Bragg, general of the Confederacy,"
"ocm00945719",,,,"Memoirs of Rev. David Brainerd,"
"ocm08044198",,,,"""High in the Sierra"" '52 /"
"ocm01371399","\\$a40027377",,,"... Dream within her hand,"
"ocm33416173",,,,"William R. Grace and Lawrence Kane, at suit of Elizabeth Dorothea Brevoort and others :"
"ocm00396867","\\$a52006419",,,"The fabulous Fanny"
"ocm10280662",,,,"A Memorial service held in honor of the late Miss Mary A. Brigham :"
"ocm02908336","\\$a20003073",,,"Within my horizon /"
"ocm33434828",,,,"Gen. Roeliff Brinkerhoff :"
"ocm33325495",,,,"Edward E. Britton."
"ocm36285569",,,,"This was the place /"
"ocm04279163",,,,"Memorabilia of the life and work of the Rev. Henry Bromley :"
"ocm32954297",,,,"Phillips Brooks :"
"ocm33950016",,,,"Mary Gilfillan Broome :"
"ocm01616086","\\$a10013076",,,"Memoirs of Tarleton Brown,"
"ocm15085265",,,,"In memory of the Rev. Thomas McKee Brown, pastor, teacher, priest :"
"ocm04902142",,,,"The essential Lenny Bruce /"
"ocm18111387",,,,"Speech of William Jennings Bryan :"
"ocm06878491",,,,"In memoriam William Cullen Bryant :"
"ocm00270651","\\$a05010186",,,"William Cullen Bryant /"
"ocm00242422",,,,"The Bryant homestead-book /"
"ocm00242423",,,,"Bryant memorial meeting of the Century. Tuesday evening, November 12th, 1878."
"ocm11688231","\\$a03025271",,,"Chronologies of the life and writings of William Cullen Bryant,"
"ocm33434352",,,,"The autobiography of Commander Ringgold W. Carman :"
